WKT	OBJECTID	FEATURE
"LINESTRING (520020.6948380488 7495438.933689507, 519762.1990770419 7495904.939755942, 519433.317879363 7496282.440096316, 519021.3599031802 7496577.430042792, 518014.1268506973 7497123.757406968, 517847.8796070706 7497213.920483816)"	"962"	"Fault or shear zone"
"LINESTRING (525375.306361279 7483424.968661134, 524988.5850617206 7483694.465257432, 524381.2146663121 7484340.470171828, 523577.7784807514 7485223.462142013, 523268.1207471149 7485625.951278137, 522902.4498661464 7486302.463320538, 522587.8812501792 7487010.96030626, 522285.2600410507 7487566.451212665, 521735.3453365441 7488269.453394208, 521415.0159171558 7488743.45192373, 521224.2899598987 7489118.450215742, 520689.0811936194 7490139.435721959, 520260.7445781892 7491109.445960287, 519972.7815469111 7492053.43901718, 519550.3904075171 7492831.928755386, 518943.5373077549 7493598.928786993, 518184.8404649407 7494525.920076355, 517804.7701799663 7494846.419316646, 517393.6292484383 7495306.919828533, 517026.3192496095 7495626.907642675, 516855.6884269856 7495863.411676507, 516444.342350968 7496285.908533265, 515754.7990571932 7497040.409498658, 515572.2283290472 7497244.410824312, 515387.8802012106 7497449.911484472, 515090.6811785205 7497755.410967518, 515033.5132423529 7497814.397320466, 514809.9504529551 7497998.909524444, 514561.9087648375 7498203.898431847, 514472.0090595513 7498277.889194509, 514412.7483578049 7498326.901432419, 514229.4689469429 7498441.401682518, 514165.4741339243 7498481.400370681, 513025.7543424689 7499531.384304392)"	"2235"	"Fault or shear zone"
"LINESTRING (512640.2995057406 7497963.869518281, 511257.2524690177 7499413.369148155, 511105.6788717026 7499624.357510075)"	"2246"	"Fault or shear zone"
"LINESTRING (522843.7138006306 7511577.421128497, 522667.6432442597 7511811.672819528, 522459.529177895 7512088.520967374, 522004.1118336946 7512606.520235716, 521206.448052546 7513361.990735246, 520542.4626529398 7514160.968576635, 519928.6807687491 7514807.459462123, 519637.8437801598 7515158.941412969, 519480.0558917666 7515414.440671423, 519418.4346491985 7515485.763669115, 519041.141933471 7515922.438162035, 517993.830778137 7517134.404593773)"	"2248"	"Fault or shear zone"
"LINESTRING (510631.0113203275 7496937.431580197, 509447.9127657863 7497399.332115818, 508057.5648039028 7497890.836837424, 507162.7502031472 7498283.819917561, 506845.5489036921 7498444.821155919, 506136.0183287603 7499008.312686082, 505769.049991 7499405.308301756, 504845.3935080547 7500357.313295105, 503823.902865605 7501484.119981881)"	"2688"	"Fault or shear zone"
"LINESTRING (500011.2903023658 7500081.737646446, 500225.5811919638 7499852.75129733, 500317.0406799428 7499722.747876719, 500540.3239019878 7499405.754078721, 500693.8478708981 7499210.24120471, 500879.680035571 7498973.749739247, 501067.4969917253 7498734.738845389, 501690.5478568198 7498015.748866831, 502102.8640840947 7497413.75487866, 502494.8881311541 7496940.753669793, 502543.1101128674 7496867.258428087, 502892.6212320153 7496333.750415212, 503467.6845294551 7495573.262532515)"	"2689"	"Fault or shear zone"
"LINESTRING (505915.6287034978 7508804.80710786, 506726.5027160372 7508144.825477514, 507530.7221110854 7507427.837601766, 508245.7493539788 7506672.841898306, 508586.8314446715 7506187.349967605, 508959.4085101376 7505671.34795423, 509170.2293789443 7505384.203821687, 509196.9123451138 7505347.859843862, 509390.3492192297 7505116.849339642, 509634.3305231591 7504825.360770935, 509787.7725655937 7504640.364181733, 510066.1874402938 7504346.375179503, 510560.5142743085 7503993.37264487, 511170.4942639269 7503639.483586507, 511302.5239696847 7503562.879181458, 512019.3346708197 7503183.886323487, 512378.6922397354 7502790.377815655, 512482.6791021327 7502680.074805035, 512803.8400071754 7502339.391940008, 513018.0382912054 7501955.399287626, 513106.5304164757 7501796.901870996, 513377.9109641315 7501368.889721707, 513751.0119307768 7500914.900955502, 513929.3190118876 7500757.397819897, 514426.278360774 7500319.408302404, 514491.9367276406 7500261.410799589, 515378.9555314353 7499575.91353935, 515891.7593446999 7499082.908461971, 515937.8603095606 7499043.418337679, 516084.3513897646 7498918.921142542, 516132.4019624576 7498877.912625977, 516399.8008133813 7498690.9206743, 516446.6907421405 7498643.431208974, 516885.9020885961 7498199.429791741, 516997.112233693 7498099.429196692, 517453.4872595447 7497683.898538314, 517473.779419789 7497665.421633452, 517847.8796070706 7497213.920483816, 517992.7799213823 7496926.42913488, 518383.9314657774 7496275.420112828, 518769.2901477404 7495725.928489053, 519033.6040513134 7495151.432649084, 519611.7950355628 7493709.943739748, 519761.5429845069 7493104.438978808, 519879.2517868591 7492448.441115267, 519972.7815469111 7492053.43901718)"	"2843"	"Fault or shear zone"
"LINESTRING (545893.9824405949 7489525.86523723, 545755.5014237454 7489723.681356835, 545376.7147523009 7490292.184617108, 544972.20599484 7490816.668644879, 544698.5290464013 7491229.161237476, 544585.5114451046 7491365.671757678, 544315.0181337398 7491692.172029819, 544278.1998061514 7491731.16215295, 544116.7489278477 7491902.661235261, 543948.0093154152 7492082.159292029, 543815.639348491 7492181.652319029, 543212.9417212086 7492633.64954097, 542578.6193566388 7492980.651306433, 542286.8891407726 7493141.651626134, 541963.1916303762 7493283.139785942, 541373.2598002416 7493585.628969602, 540638.1243224308 7494130.628004129, 540139.0534099826 7494814.134235115, 539420.7438727439 7496089.788245166, 539394.9320925357 7496135.62297114, 539028.582859757 7496659.634657473, 538598.4460751902 7497133.111722196, 538110.633066493 7497524.112075554, 537533.4943429951 7497858.113273127, 536981.5094442554 7498128.61605469, 536416.3947481646 7498309.604129587, 535889.2944331053 7498465.104733093, 535476.490004065 7498575.614150507, 534479.0962729522 7498804.100987358)"	"2997"	"Fault or shear zone"
"LINESTRING (534630.3444196425 7483865.054920772, 534090.6055168903 7484046.061162986, 533742.1639476484 7484321.563762388, 533388.3527860718 7484794.567881427, 533015.9934514492 7485395.057500001, 532580.7917014657 7486055.071734001, 531873.554617177 7487027.045153782, 531550.8024208349 7487522.53403198, 530508.6039594611 7489023.526020262, 530193.100235058 7489541.038226145, 529932.9888608444 7489804.025997611, 528977.9285138632 7490769.530310051, 528182.869514532 7492066.029675689, 527790.8076460677 7492539.02315779, 527475.0433743725 7492999.026841523, 527088.2504135587 7493236.51080705, 526531.3651128393 7493812.513877437, 526241.4896892194 7494361.512599494, 526035.0783696371 7495088.003753026, 525796.6580871128 7495764.013787739, 525855.1976437944 7496044.014673715, 525794.7771310136 7496712.512838149, 525856.8355977278 7497705.016057096, 525757.7510356673 7498272.014089078, 525089.1570868127 7499446.523187181, 524596.2758800784 7500098.515409067, 524512.8016415874 7500182.00755984, 524248.5879006177 7500447.019791603, 523887.3958250585 7500808.999436227, 523814.8091909168 7500861.501062085, 523576.8901202019 7501033.501141637, 523090.5919463073 7501408.489780864, 522521.9818031149 7501847.499487178, 522422.2515868307 7501924.491564869, 522189.265679979 7502103.998349946)"	"3496"	"Fault or shear zone"
"LINESTRING (539513.1873802864 7491597.135662138, 539039.4203285255 7492274.12993127, 538799.8704078253 7492714.619908525, 537896.9523632579 7494062.605013421, 536855.6906764692 7495537.219498225, 536570.44569593 7495941.114592441, 534479.0962729522 7498804.100987358, 534340.198053612 7498999.598917205, 534210.0803737598 7499182.601076158, 533285.191948458 7500484.100489484, 533038.9283901458 7500854.600384599, 532980.3023073664 7500984.598948229, 532914.7496984366 7501129.601234372, 532869.0051746584 7501231.109522001, 532622.2591007367 7501487.100418948, 532540.0099931684 7501632.11100112, 532401.5081382872 7501876.600775927, 532130.4601205576 7502165.598587245, 531813.0670389374 7502503.612030346, 531205.5805996726 7503124.104875519, 531092.2100394127 7503242.110120674, 530852.9701849594 7503491.101557737, 530456.1413454224 7503904.609147937, 530330.9386297039 7504034.60013126, 530175.9656372904 7504196.103201425)"	"3498"	"Fault or shear zone"
"LINESTRING (509508.6428913519 7495457.832211417, 510036.1603626636 7495391.341139982, 510068.060698209 7495416.341770741, 510588.8708147886 7495279.841016444, 511236.9057932515 7495149.35565486, 511930.1360991848 7495158.363169313, 512737.0619202164 7495007.374382766, 512907.5919483285 7494944.370208874, 512998.0598571377 7494910.870135035, 513435.3684687906 7494748.870917778, 514050.67839981 7494421.378981754, 514544.8890954898 7494042.890411992, 514879.8945147984 7493614.883930668, 515176.4207637248 7493122.883453775, 515479.4585385592 7492650.39436877, 515821.3617756188 7492330.396451843, 516087.5434381425 7492144.398231057, 516385.874893561 7492021.900239233)"	"5298"	"Fault or shear zone"
"LINESTRING (537479.4876275827 7491875.605280645, 538108.9807282847 7491621.570607612, 538653.3827480276 7491340.636582417, 539288.1842333563 7491102.136069761, 540207.9455752618 7490606.635625113, 540639.1213954657 7490337.128159951, 540907.5026328518 7490065.840333108, 540987.8304423185 7489984.639754462, 541044.1291102389 7489927.639171362, 541239.6398307178 7489576.641609825)"	"5475"	"Fault or shear zone"
"LINESTRING (546577.2602864204 7487345.218131002, 546330.8991680101 7487696.716113535, 545786.3364817143 7488183.695748167, 545121.0155568125 7488689.692021826, 544468.1458506942 7489139.179791741, 543986.257729774 7489440.682568836, 543574.2461696249 7489729.169508171, 543213.1127309214 7490017.653503144, 543048.6076017327 7490190.670277696, 542727.2942475824 7490582.411660602, 542565.7141811225 7490765.152392894, 542391.5011863221 7491085.149292344, 542259.7901782476 7491461.148964755, 542203.4287172997 7491646.147394061, 542059.9546755732 7492226.136979027, 541941.9244390739 7492825.145186876, 541963.1916303762 7493283.139785942)"	"5993"	"Fault or shear zone"
"LINESTRING (498527.6908436577 7491826.117625009, 499059.2407650602 7491275.691123456, 499171.2085624629 7491162.19126586, 501046.9381890299 7489361.700175557, 501444.3413854349 7488982.699627759, 502021.7381451292 7488408.211670204, 502590.8690024793 7487736.701994303, 502957.3716738718 7487244.710296633, 503261.2619480325 7486956.708128579, 503360.0489413657 7486870.209241737, 503552.3397042903 7486655.709402235, 503963.9511164152 7486284.210780179, 504381.6201714738 7485855.719635075, 504539.5790973605 7485638.20815853, 504621.5614647837 7485498.229755778, 505001.1204039457 7485082.21156738, 505265.9014897169 7484584.218297621, 505480.4089849464 7484233.22048552, 505700.9907088431 7483811.729554253, 506079.1840626752 7483109.736717025, 506304.9395806591 7482433.731132932, 506538.1714231434 7481999.744319519, 506803.701501308 7481686.245585095, 507177.6251632695 7481410.74300115)"	"5997"	"Fault or shear zone"
"LINESTRING (529446.1565419823 7499851.690590592, 529080.2915462828 7500220.560018577, 528861.2821091067 7500456.376656863, 528593.1590481335 7500745.061562199, 528419.5086110234 7500966.56095005, 528302.3796234686 7501116.061090371, 528055.8005487525 7501423.059336577, 527895.3804132865 7501600.550623675, 527190.8102288014 7502380.041910088, 527002.7512360156 7502588.051300704, 526806.6566107097 7502805.055779273)"	"6000"	"Fault or shear zone"
"LINESTRING (511878.1676279628 7478934.82118046, 511237.4310658149 7479262.818590095, 510368.6747787121 7479783.317434268, 509628.0136773891 7480493.816790119, 509115.5634213822 7481056.291389633, 508654.2060679656 7481657.284236511, 508297.8860139981 7482951.277124178, 507958.8788197686 7483869.753764429, 507805.9090856349 7484115.759818959, 507573.9123097421 7484489.261502037, 507347.1125582141 7484942.258751886, 506963.0713851271 7485752.759037122, 506792.390376304 7485969.747917548, 506356.6006724424 7486602.24845382, 506110.0507722911 7486915.740507146, 505958.5396427842 7487139.229425794, 505880.6499948748 7487247.250308281, 505446.8099292642 7487848.252014838, 505191.6905310505 7488202.74096686, 504991.9977745673 7488493.740141176, 504662.7901518044 7488807.240120856, 504410.5992922888 7489048.739995965, 504386.0965810617 7489075.182183162, 504112.2103111877 7489370.738581943, 503751.9305946626 7489830.728219492, 503311.331279912 7490794.23871238, 502974.5984068047 7492183.728981317, 502625.146760177 7493151.24504545, 502193.8118525125 7493869.740278024, 501546.7987861271 7494516.728609531, 501474.8979849127 7494612.738669444, 500204.8389554804 7495523.221198734, 499669.3195993112 7495830.719282709, 498941.5994023988 7496248.722298384, 498911.9719992007 7496268.244001202, 498528.8002416287 7496520.709006479, 498335.6905167358 7496649.725233044, 497480.1304797381 7497008.211318504, 497312.0229696088 7497081.819876267, 496421.5396897841 7497471.689798299, 495645.7698296425 7498034.67985954, 495254.8352292604 7498426.18478417, 495059.4049041467 7498653.696854503, 494908.141131029 7498912.690346413, 494586.6589593624 7499392.688830469, 493867.7783445308 7500056.690995796, 493148.8606682132 7500669.677963223, 492183.8717153132 7501339.669484086, 491092.6107716598 7501940.658623832, 490386.0267441272 7502213.149251221, 489363.9465192133 7502517.132984718)"	"6205"	"Fault or shear zone, major"
